Hour	 Total_subsurface_storage	 Total_surface_storage	 Total_surface_runoff	 ET	
1852	 2300020880.7327437	 667.375434738927	 1009.3601351631271	 0	
1853	 2299062480.6687894	 666.6036060239909	 1007.7451524681463	 0	
1854	 2298158026.790789	 666.6167722074273	 1007.6736771514402	 0	
1855	 2298383650.080225	 670.414061500687	 1014.2002505695563	 0	
1856	 2297461468.061084	 667.5162442839666	 1009.5900853443701	 0	
1857	 2296540637.7411137	 666.1185949838608	 1006.9458041287326	 0	
1858	 2295600838.583966	 665.3979042407108	 1005.5731413216049	 0	
1859	 2294624193.5858207	 664.8208927116118	 1004.5377721810186	 0	
1860	 2293584575.965376	 664.1602665048058	 1003.3931674956992	 0	
1861	 2292562762.008918	 663.5727082131217	 1002.3799928151951	 0	
1862	 2291552551.051195	 663.0142556812125	 1001.4460441739034	 0	
1863	 2290549046.1415277	 662.4830815024661	 1000.5403675087144	 0	
1864	 2289595368.066288	 662.1594922048326	 999.9105363466792	 0	
1865	 2288687822.401895	 661.951188813532	 999.5037727730521	 0	
1866	 2287839047.9689326	 661.8723168082518	 999.3422856067912	 0	
1867	 2287003401.0273275	 661.2487814933944	 998.222933401781	 0	
1868	 2286178288.878641	 660.4864244918026	 996.7983620006584	 0	
1869	 2285718565.1340094	 660.9045869264683	 997.460722545423	 0	
1870	 2285831434.271021	 663.7578189678394	 1002.6088787887844	 0	
1871	 2294796427.208554	 696.3870068721423	 1060.360746351798	 0	
1872	 2304705640.053356	 713.0349620488838	 1094.2051127692353	 0	
1873	 2339892554.8472266	 813.5967835747878	 1294.115491455753	 0	
1874	 2334215367.2227774	 711.9648783048611	 1106.8016531411422	 0	
1875	 2331147914.9822464	 685.6931442045122	 1047.3489667345978	 0	
1876	 2329888657.946487	 681.6447551425224	 1035.9592510042946	 0	
1877	 2356591173.708824	 783.7541800421203	 1229.2627036803185	 0	
1878	 2405537479.3819036	 913.7330922255446	 1519.3572073326707	 0	
1879	 2441972332.563673	 951.1682477985013	 1622.7149017407944	 0	
1880	 2436202701.495902	 804.675940438624	 1306.3888538532754	 0	
1881	 2449342586.5862436	 823.2060607776998	 1325.8901795804925	 0	
1882	 2435989849.7219577	 717.6540190662226	 1118.2148908636148	 0	
1883	 2481987346.2459793	 918.8120453759683	 1520.6019982747407	 0	
1884	 2470642914.2057953	 762.692355708048	 1215.0747436792535	 0	
1885	 2465713863.0326953	 722.9074094578575	 1120.997241506348	 0	
1886	 2464282093.017385	 716.5152840068607	 1102.6093653696605	 0	
1887	 2465071295.73436	 719.1187916868884	 1106.1936249961552	 0	
1888	 2463925581.394345	 711.364174633119	 1092.5602241151787	 0	
1889	 2461018294.8323336	 701.0125490868458	 1072.9152416521467	 0	
1890	 2466067706.5574408	 732.9378426158347	 1129.906379815805	 0	
1891	 2457363700.1141653	 688.965275174972	 1053.3711698656957	 0	
1892	 2450405169.5241137	 675.4160554960231	 1024.4116363449739	 0	
1893	 2444524276.08436	 670.3339672237123	 1013.495258054966	 0	
1894	 2439468963.980291	 668.9534523194133	 1010.4240857560028	 0	
1895	 2434986954.780594	 668.4037924301601	 1009.3276835109336	 0	
1896	 2430946062.0487084	 668.0084556924058	 1008.6082688424012	 0	
1897	 2427365578.070662	 669.459000452329	 1011.1034630649798	 0	
1898	 2424071363.1096463	 670.0287404614849	 1012.2493013010044	 0	
1899	 2421018420.71399	 670.1864959791571	 1012.5942946297388	 0	
1900	 2418157100.3709674	 670.2246964976752	 1012.6755451148413	 0	
1901	 2415462146.7182374	 670.1934772102242	 1012.6189987055021	 0	
1902	 2412853389.0587873	 669.7696587393496	 1011.8716940669907	 0	
1903	 2410384021.8497744	 669.3538213398945	 1011.0993053702579	 0	
1904	 2408053492.667607	 669.2642975706488	 1010.8947440129808	 0	
1905	 2405821457.8066974	 669.1639147251058	 1010.7079079100366	 0	
